Nom	Description	État  	Type de démarrage	Ouvrir une session en tant que
Connaissance des emplacements réseau	Collecte et stocke les informations de configuration du réseau, puis notifie les programmes en cas de modification de ces informations. Si ce service est arrêté, les informations de configuration risquent de ne pas être disponibles. Si ce service est désactivé, les services qui en dépendent explicitement ne pourront pas démarrer.	Démarré	Automatique	Service réseau
Détection matériel noyau	Fournit des notifications à des événements matériel de lecture automatique.	Démarré	Automatique	Système local
EIN_BMM		Démarré	Automatique	Système local
Fichiers hors connexion	Le service Fichiers hors connexion effectue des activités de maintenance sur le cache Fichiers hors connexion, répond aux événements d’ouverture et de fermeture de session des utilisateurs, implémente les données internes de l’API public, et distribue aux utilisateurs intéressés les événements pertinents relatifs aux activités Fichiers hors connexion et aux modifications apportées en mémoire cache.	Démarré	Automatique	Système local
Générateur de points de terminaison du service Audio Windows	Gère les périphériques audio pour le service Audio Windows. Si ce service est arrêté, les périphériques et les effets audio ne fonctionneront pas correctement. S’il est désactivé, les services qui en dépendent explicitement ne démarreront pas	Démarré	Automatique	Système local
Gestionnaire de comptes de sécurité	Le démarrage de ce service signale à d’autres services que le Gestionnaire de comptes de sécurité est prêt à accepter des demandes. La désactivation de ce service empêchera d’autres services dans le système d’être prévenus lorsque le Gestionnaire de comptes de sécurité sera prêt, ce qui pourrait provoquer le démarrage incorrect de ces services. Ce service ne doit pas être désactivé.	Démarré	Automatique	Système local
Gestionnaire de sessions du Gestionnaire de fenêtrage	Fournit les services de démarrage et de maintenance du Gestionnaire de fenêtrage	Démarré	Automatique	Système local
Infrastructure de gestion Windows	Fournit une interface commune et un modèle objet pour accéder aux informations de gestion du système d’exploitation, des périphériques, des applications et des services. Si ce service est arrêté, la plupart des logiciels sur base Windows ne fonctionneront pas correctement. Si ce service est désactivé, tout service qui en dépend explicitement ne démarrera pas.	Démarré	Automatique	Système local
Journal d’événements Windows	Ce service gère les événements et les journaux d’événements. Il prend en charge l’enregistrement des événements, les requêtes sur les événements, l’abonnement aux événements, l’archivage des journaux d’événements et la gestion des métadonnées d’événements. Il peut afficher des événements en XML et en format de texte brut. L’arrêt de ce service peut compromettre la sécurité et la fiabilité du système.	Démarré	Automatique	Service local
Lanceur de processus serveur DCOM	Le service DCOMLAUNCH lance les serveurs COM et DCOM en réponse aux demandes d’activation d’objets. Si ce service est arrêté ou désactivé, les programmes qui utilisent COM ou DCOM ne fonctionnent pas correctement. Il est fortement recommandé d’exécuter le service DCOMLAUNCH.	Démarré	Automatique	Système local
Mappeur de point de terminaison RPC	Résout les identificateurs des interfaces RPC en points de terminaison de transport. Si ce service est arrêté ou désactivé, les programmes utilisant des services d’appel de procédure distante (RPC) ne fonctionneront pas correctement.	Démarré	Automatique	Service réseau
Microsoft Antimalware Service	Protège les utilisateurs contre les logiciels malveillants et les autres logiciels potentiellement indésirables	Démarré	Automatique	Système local
Moteur de filtrage de base	Le moteur de filtrage de base est un service qui gère les stratégies de pare-feu et de sécurité IP (IPsec), et qui implémente le filtrage en mode utilisateur. L’arrêt ou la désactivation du service Moteur de filtrage de base diminue significativement la sécurité du système et aboutit également à un fonctionnement imprévisible des applications de gestion et de pare-feu IPsec.	Démarré	Automatique	Service local
Netlogon	Maintient un canal sécurisé entre cet ordinateur et le contrôleur de domaine pour authentifier les utilisateurs et les services. Si ce service est arrêté, l’ordinateur peut ne pas authentifier les utilisateurs et les services et le contrôleur de domaine ne peut pas inscrire les enregistrements DNS. Si ce service est désactivé, tout service qui en dépend explicitement ne pourra pas démarrer.	Démarré	Automatique	Système local
NitroPDFReaderDriverCreatorReadSpool3	Nitro Reader Driver Read Spool 3	Démarré	Automatique	Système local
Pare-feu Windows	Le Pare-feu Windows vous aide à protéger votre ordinateur en empêchant les utilisateurs non autorisés d’accéder à votre ordinateur via Internet ou un réseau.	Démarré	Automatique	Service local
Planificateur de classes multimédias	Active la définition relative des priorités du travail sur la base des priorités des tâches de niveau système. Ce service concerne principalement les applications multimédias. S’il est arrêté, chaque tâche reprend sa priorité par défaut.	Démarré	Automatique	Système local
Planificateur de tâches	Permet à un utilisateur de configurer et de planifier des tâches automatisées sur cet ordinateur. Le service héberge également plusieurs tâches critiques du système Windows. Si ce service est arrêté ou désactivé, ces tâches ne seront pas exécutées à l’heure prévue. Si ce service est désactivé, tout service en dépendant explicitement ne démarrera pas.	Démarré	Automatique	Système local
Plug-and-Play	Permet à l’ordinateur de reconnaître et d’adapter les modifications matérielles avec peu ou pas du tout d’intervention de l’utilisateur. Arrêter ou désactiver ce service provoque une instabilité du système.	Démarré	Automatique	Système local
Serveur	Prend en charge le partage de fichiers, d’impression et des canaux nommés via le réseau pour cet ordinateur. Si ce service est arrêté, ces fonctions ne seront pas disponibles. Si ce service est désactivé, les services qui en dépendent ne pourront pas démarrer.	Démarré	Automatique	Système local
Service de cache de police Windows	Optimise les performances des applications en mettant en cache les données des polices communément utilisées. Les applications démarrent ce service s’il n’est pas déjà en fonctionnement. Il peut être désactivé ; il en résulte cependant une dégradation des performances des applications.	Démarré	Automatique	Service local
Service de notification d’événements système	Analyse les événements système et notifie leur existence aux abonnés du système d’événements COM+.	Démarré	Automatique	Système local
Service de profil utilisateur	Ce service est responsable du chargement et du déchargement des profils utilisateurs. Si ce service est arrêté ou désactivé, les utilisateurs ne pourront plus ouvrir ou fermer une session, les applications pourront avoir des problèmes pour obtenir les données des utilisateurs, et les composants inscrits pour recevoir les notifications d’événements de profils ne les recevront pas.	Démarré	Automatique	Système local
Service de stratégie de diagnostic	Le service de stratégie de diagnostic permet la détection, le dépannage et la résolution de problèmes pour les composants de Windows. Si ce service est arrêté, les diagnostics ne fonctionnent plus.	Démarré	Automatique	Service local
Service Interface du magasin réseau	Ce service fournit des notifications réseau (ajout/suppression d’interface, etc.) aux clients en mode utilisateur. L’arrêt de ce service entraîne la perte de la connectivité réseau. Si ce service est désactivé, les autres services qui en dépendent explicitement ne pourront pas démarrer.	Démarré	Automatique	Service local
Services de chiffrement	Fournit quatre services de gestion : le service de base de données de catalogue, qui confirme les signatures des fichiers Windows et autorise l’installation de nouveaux programmes, le service de racine protégée, qui ajoute et supprime les certificats d’autorité de certification racines approuvés sur cet ordinateur, le service de mise à jour de certificats racines automatique, qui extrait les certificats racines à partir de Windows Update et autorise les scénarios tels que SSL, et le service des clés, qui aide à l’inscription de cet ordinateur pour les certificats. Si ce service est arrêté, les services de gestion ne fonctionneront pas correctement. Si ce service est désactivé, les services en dépendant explicitement ne démarreront pas.	Démarré	Automatique	Service réseau
Spouleur d’impression	Charge les fichiers en mémoire pour une impression ultérieure	Démarré	Automatique	Système local
Station de travail	Crée et maintient des connexions de réseau client à des serveurs distants à l’aide du protocole SMB. Si ce service est arrêté, ces connexions ne seront pas disponibles. Si ce service est désactivé, les services qui en dépendent explicitement ne pourront pas démarrer.	Démarré	Automatique	Service réseau
Superfetch	Gère et améliore les performances du système dans le temps.	Démarré	Automatique	Système local
Système d’événement COM+	Prend en charge le service de notification d’événements système (SENS, System Event Notification Service), qui fournit une distribution automatique d’événements aux composants COM (Component Object Model) abonnés. Si le service est arrêté, SENS sera fermé et ne pourra fournir des informations d’ouverture et de fermeture de session. Si ce service est désactivé, le démarrage de tout service qui en dépend explicitement échouera.	Démarré	Automatique	Service local
Thèmes	Fournit un système de gestion de thème de l’expérience utilisateur.	Démarré	Automatique	Système local
Centre de sécurité	Le service WSCSVC (Centre de sécurité Windows) surveille et affiche les paramètres d’intégrité de la sécurité de l’ordinateur. Parmi les paramètres d’intégrité figurent ceux du pare-feu (activé/désactivé), de l’antivirus (activé/désactivé/périmé), du logiciel anti-espion (activé/désactivé/périmé), de Windows Update (téléchargement et installation automatique/manuelle des mises à jour), du contrôle de compte d’utilisateur (activé/désactivé) et des paramètres Internet (recommandés/non recommandés). Le service fournit des API COM à l’intention des éditeurs de logiciels indépendants pour qu’ils s’inscrivent et enregistrent l’état de leurs produits au service Centre de sécurité. L’interface utilisateur du Centre de maintenance utilise le service pour fournir des alertes dans la zone de notification et une vue graphique des états d’intégrité de la sécurité dans le panneau de configuration du Centre de maintenance. La protection d’accès réseau (NAP) utilise le service pour signaler les états 	Démarré	Automatique (début différé)	Service local
Microsoft .NET Framework NGEN v4.0.30319_X86	Microsoft .NET Framework NGEN		Automatique (début différé)	Système local
Protection logicielle	Permet le téléchargement, l’installation et l’application de licences numériques pour Windows et des applications Windows. Si le service est désactivé, le système d’exploitation et les applications sous licence peuvent s’exécuter dans un mode de notification. Et il est instamment recommandé de ne pas désactiver le service de protection logicielle.		Automatique (début différé)	Service réseau
Service de transfert intelligent en arrière-plan	Transfère des fichiers en arrière-plan en utilisant la bande passante réseau inactive. Si le service est désactivé, toutes les applications dépendant du service de transfert intelligent d’arrière-plan, telles que Windows Update ou MSN Explorer, ne pourront plus télécharger des programmes ni d’autres informations.	Démarré	Automatique (début différé)	Système local
Service Google Update (gupdate)	Permet de maintenir votre logiciel Google à jour. Si ce service est désactivé ou interrompu, votre logiciel Google ne sera plus mis à jour. Toute faille de sécurité susceptible d'apparaître ne pourrait alors pas être réparée et certaines fonctionnalités pourraient être endommagées. Ce service se désinstalle automatiquement lorsque aucun logiciel Google ne l'utilise.		Automatique (début différé)	Système local
Windows Search	Fournit des fonctionnalités d’indexation de contenu, de mise en cache des propriétés, de résultats de recherche pour les fichiers, les messages électroniques et autres contenus.	Démarré	Automatique (début différé)	Système local
Windows Update	Active la détection, le téléchargement et l’installation des mises à jour de Windows et d’autres programmes. Si ce service est désactivé, les utilisateurs de cet ordinateur ne pourront pas utiliser Windows Update ou sa fonctionnalité de mise à jour automatique, et les programmes ne pourront pas utiliser l’API de l’Agent de mise à jour automatique Windows Update (WUA).	Démarré	Automatique (début différé)	Système local
Adaptateur d'écouteur Net.Msmq	Reçoit des demandes d'activation sur les protocoles net.msmq et msmq.formatname et les transmet au service d'activation de processus Windows.		Désactivé	Service réseau
Adaptateur d'écouteur Net.Pipe	Reçoit des demandes d'activation sur le protocole net.pipe et les transmet au service d'activation de processus de Windows.		Désactivé	Service local
Adaptateur d'écouteur Net.Tcp	Reçoit des demandes d'activation sur le protocole net.tcp et les transmet au service d'activation de processus de Windows.		Désactivé	Service local
Microsoft .NET Framework NGEN v2.0.50727_X86	Microsoft .NET Framework NGEN		Désactivé	Système local
Partage de connexion Internet (ICS)	Assure la traduction d’adresses de réseau, l’adressage, les services de résolution de noms et/ou les services de prévention d’intrusion pour un réseau de petite entreprise ou un réseau domestique.		Désactivé	Système local
Routage et accès distant	Offre aux entreprises des services de routage dans les environnements de réseau local ou étendu.		Désactivé	Système local
Service de partage de ports Net.Tcp	Fournit la possibilité de partager des ports TCP sur le protocole net.tcp.		Désactivé	Service local
Service d'état ASP.NET	Assure la prise en charge des états de session hors processus pour ASP.NET. En cas d'interruption de ce service, les demandes hors processus ne sont pas traitées. Si ce service est désactivé tous les services qui en dépendent explicitement ne démarreront pas.		Désactivé	Service réseau
Service Media Center Extender	Permet aux unités Media Center Extender de détecter l’ordinateur et de s’y connecter.		Désactivé	Service local
Visual Studio 2005 Remote Debugger	Allows members of the Administrators group to remotely debug server applications using Visual Studio 2005. Use the Visual Studio 2005 Remote Debugging Configuration Wizard to enable this service.		Désactivé	Système local
Accès du périphérique d'interface utilisateur	Permet l'accès entrant générique aux périphériques d'interface utilisateur, qui activent et maintiennent l'utilisation des boutons actifs prédéfinis sur le clavier, les contrôles à distance, et d'autres périphériques multimédia. Si ce service est arrêté, les boutons actifs contrôlés par ce service ne fonctionneront pas. Si ce service est désactivé, tout service en dépendant explicitement ne démarrera pas.		Manuel	Système local
Adobe Flash Player Update Service	Ce service permet de tenir à jour votre installation d’Adobe Flash Player afin de profiter des dernières améliorations et des derniers correctifs de sécurité.		Manuel	Système local
Agent de protection d’accès réseau	Le service Agent de protection d’accès réseau (NAP) recueille et gère les informations d’intégrité pour les ordinateurs clients d’un réseau. Les informations recueillies par l’agent NAP sont utilisées pour s’assurer que l’ordinateur client possède les logiciels et paramètres nécessaires. Si un ordinateur client n’est pas conforme à la stratégie d’intégrité, il est possible de lui procurer un accès réseau restreint jusqu’à ce que sa configuration soit mise à jour. Selon la configuration de la stratégie d’intégrité, les ordinateurs clients peuvent être mis à jour automatiquement afin que les utilisateurs puissent rapidement disposer à nouveau d’un accès réseau complet sans avoir à mettre à jour leur ordinateur manuellement.		Manuel	Service réseau
Agent de stratégie IPsec	La sécurité du protocole Internet (IPSec) prend en charge l’authentification de l’homologue réseau, l’authentification de l’origine des données, l’intégrité des données, la confidentialité des données (chiffrement) et la protection de la relecture. Ce service met en œuvre des stratégies IPSec créées via le composant logiciel enfichable Stratégies de sécurité IP ou l’outil de ligne de commande « netsh ipsec ». Si vous arrêtez ce service, vous pourrez rencontrer des problèmes de connectivité réseau si votre stratégie nécessite des connexions IPSec. En outre, la gestion à distance du Pare-feu Windows n’est pas disponible lorsque ce service est arrêté.		Manuel	Service réseau
Application système COM+	Gère la configuration et le suivi des composants de base COM+ (Component Object Model). Si le service est arrêté, la plupart des composants de base COM+ ne fonctionneront pas correctement. Si ce service est désactivé, les services qui en dépendent de manière explicite ne pourront pas démarrer.		Manuel	Système local
BranchCache	Ce service met en cache le contenu réseau à partir d’homologues sur le sous-réseau local.		Manuel	Service réseau
Brillance adaptative	Surveille les capteurs de lumière ambiante pour détecter les changements de lumière ambiante et régler la brillance de l’affichage. Si ce service est arrêté ou désactivé, la brillance de l’affichage ne s’adaptera pas aux conditions d’éclairage.		Manuel	Service local
Cache de police de Windows Presentation Foundation 3.0.0.0	Optimise les performances des applications Windows Presentation Foundation (WPF) en mettant en cache les données de police fréquemment utilisées. Les applications WPF démarrent ce service s'il n'est pas déjà en cours d'exécution. Ce dernier peut être désactivé ; toutefois, cela entraîne une dégradation des performances des applications WPF.		Manuel	Service local
Carte à puce	Gère l’accès aux cartes à puce lues par cet ordinateur. Si ce service est arrêté, cet ordinateur ne pourra plus lire de cartes à puces. Si ce service est désactivé, tout service en dépendant explicitement ne démarrera pas.		Manuel	Service local
Carte de performance WMI	Fournit des informations concernant la bibliothèque de performance à partir des fournisseurs HiPerf WMI (Windows Management Instrumentation) à des clients sur le réseau. Ce service s’exécute uniquement quand l’assistant de performance des données est activé.		Manuel	Système local
Cliché instantané des volumes	Gère et implémente les clichés instantanés de volumes pour les sauvegardes et autres utilisations. Si ce service est arrêté, les clichés instantanés ne seront pas disponibles pour la sauvegarde et la sauvegarde échouera. Si ce service est désactivé, les services en dépendant explicitement ne démarreront pas.		Manuel	Système local
Collecteur d’événements de Windows	Ce service gère des abonnements persistants à des événements de sources distantes prenant en charge le protocole Gestion de services Web. Cela inclut les journaux d’événements de Windows Vista, les sources d’événements matériels et IPMI. Le service stocke les événements transférés dans un journal d’événements local. Si ce service est arrêté ou désactivé, des abonnements aux événements ne peuvent pas être créés et les événements transférés ne peuvent pas être acceptés.		Manuel	Service réseau
Configuration automatique de réseau câblé	Le service Wired AutoConfig (DOT3SVC) est responsable de l’exécution de l’authentification IEEE 802.1X sur les interfaces Ethernet. Si votre déploiement de réseau câblé actuel applique l’authentification 802.1X, le service DOT3SVC doit être configuré de façon à s’exécuter pour l’établissement de la connectivité de Couche 2 et/ou fournir l’accès aux ressources réseau. Les réseaux câblés qui n’appliquent pas l’authentification 802.1X ne sont pas concernés par le service DOT3SVC.		Manuel	Système local
Configuration des services Bureau à distance	Le service Configuration des services Bureau à distance (RDCS) est responsable de toutes les activités de maintenance de session et de configuration du Bureau à distance et des services Bureau à distance nécessitant un contexte SYSTEM. Il faut y inclure les dossiers temporaires par session, ainsi que les thèmes et certificats des services Bureau à distance.		Manuel	Système local
Connexions réseau	Prend en charge les objets dans le dossier Connexions réseau et accès à distance, dans lequel vous pouvez afficher à la fois les connexions du réseau local et les connexions à distance.	Démarré	Manuel	Système local
Coordinateur de transactions distribuées	Coordonne les transactions qui comportent plusieurs gestionnaires de ressources, tels que des bases de données, des files d’attente de messages net des systèmes de fichiers. Si ce service est arrêté, ces transactions échoueront. S’il est désactivé, le démarrage de tout service qui en dépend explicitement échouera.		Manuel	Service réseau
Découverte SSDP	Découvre les périphériques et services en réseau qui utilisent le protocole de découverte SSDP, tels que les périphériques UPnP. Annonce également les périphériques et services SSDP exécutés sur l’ordinateur local. Si ce service est arrêté, les périphériques SSDP ne seront pas découverts. S’il est désactivé, tous les services qui dépendent explicitement de lui ne démarreront pas.	Démarré	Manuel	Service local
Défragmenteur de disque	Fournit les fonctionnalités de défragmentation de disque.		Manuel	Système local
Détection de services interactifs	Active la notification des entrées utilisateur pour les services interactifs, qui active l’accès aux boîtes de dialogue créées par les services interactifs lorsqu’elles apparaissent. Si ce service est arrêté, les notifications de nouvelles boîtes de dialogue de services interactifs ne fonctionneront plus et l’accès aux boîtes de dialogue des services interactifs sera peut-être perdu. Si ce service est désactivé, les notifications des nouvelles boîtes de dialogue de services interactifs ainsi que leur accès ne fonctionneront plus.		Manuel	Système local
Disque virtuel	Fournit des services de gestion des disques, des volumes, des systèmes de fichiers et des groupes de stockage.		Manuel	Système local
Emplacement protégé	Fournit un stockage protégé pour les données sensibles, telles que les mots de passe, pour empêcher l’accès par des services, des processus ou des utilisateurs non autorisés.		Manuel	Système local
Énumérateur de bus IP PnP-X	Le service énumérateur du bus PnP-X gère le bus de réseau virtuel. Il découvre les périphériques connectés au réseau à l’aide des protocoles de découverte SSDP/WS et leur donne une présence dans PnP. Si ce service est arrêté ou désactivé, la présence des périphériques connectés au réseau ne sera pas conservée dans PnP. Tous les scénarios pnpx cesseront de fonctionner.		Manuel	Système local
Expérience audio-vidéo haute qualité Windows	qWave (Quality Windows Audio Video Experience) est une plateforme réseau destinée aux applications de flux AV (Audio Video) sur des réseaux domestiques IP. qWave améliore les performances et la fiabilité des flux AV en assurant la qualité de service (QoS) sur le réseau des applications AV. Cette plateforme fournit des mécanismes concernant le contrôle d’admission, l’analyse et la mise en œuvre des principes de protection des informations personnelles à l’exécution, la rétroaction des applications et la définition des priorités du trafic.		Manuel	Service local
Expérience d’application	Traite les demandes de cache de compatibilité d’application pour les applications, au moment où elles sont lancées	Démarré	Manuel	Système local
Explorateur d’ordinateurs	Tient à jour une liste des ordinateurs présents sur le réseau et fournit cette liste aux ordinateurs désignés comme navigateurs. Si ce service est arrêté, la liste ne sera pas mise ou tenue à jour. Si ce service est désactivé, les services qui en dépendent ne pourront pas démarrer.		Manuel	Système local
FLEXnet Licensing Service	This service performs licensing functions on behalf of FLEXnet enabled products.		Manuel	Système local
Fournisseur de cliché instantané de logiciel Microsoft	Gère les copies logicielles de clichés instantanés de volumes créés par le service de cliché instantané de volumes. Si ce service est arrêté, les copies logicielles de clichés instantanés ne peuvent pas être gérées. Si le service est désactivé, les services qui en dépendent ne pourront pas démarrer.		Manuel	Système local
Fournisseur HomeGroup	Effectue des tâches réseau associées à la configuration et à la maintenance des groupes résidentiels. Si ce service est arrêté ou désactivé, votre ordinateur ne sera pas en mesure de détecter d’autres groupes résidentiels et votre groupe résidentiel ne fonctionnera peut-être pas correctement. Nous vous recommandons de veiller à ce que ce service soit constamment en cours d’exécution.		Manuel	Service local
Gestion à distance de Windows (Gestion WSM)	Le service Gestion à distance de Windows implémente le protocole Gestion des services Web pour la gestion à distance. La Gestion des services Web est un protocole standard utilisé pour la gestion à distance de logiciels et de matériels. Le service Gestion à distance de Windows traite les demandes Gestion des services Web. Il doit être configuré à l’aide de l’outil winrm.cmd ou via la stratégie de groupe. Ce service donne accès aux données WMI et permet le recueil d’événements. Le recueil d’événements et l’abonnement exigent que ce service s'exécute. Les messages du service Gestion à distance de Windows utilisent HTTP et HTTPS. Le service Gestion à distance de Windows ne dépend pas d’IIS mais partage un port avec IIS sur la même machine. Le service Gestion à distance de Windows réserve le préfixe d’URL /wsman. Pour éviter les conflits avec IIS, vérifiez que les sites Web hébergés sur IIS n’utilisent pas le préfixe d’URL /wsman.		Manuel	Service réseau
Gestion d’applications	Traite les demandes d’installation, de suppression et d’énumération pour le logiciel déployé au moyen de la stratégie de groupe. Si le service est désactivé, les utilisateurs ne pourront pas installer, supprimer ou énumérer le logiciel déployé au moyen de la stratégie de groupe. Si ce service est désactivé, tous les services qui en dépendent explicitement ne pourront pas démarrer.		Manuel	Système local
Gestion des clés et des certificats d’intégrité	Fournit des services de gestion des clés et des certificats X.509 pour l’Agent de protection d’accès réseau (NAPAgent). Les technologies de mise en œuvre qui utilisent des certificats X.509 ne fonctionnent pas correctement sans ce service.		Manuel	Système local
Gestionnaire d’identité réseau homologue	Fournit des services d’identité pour le protocole PNRP et les services de groupement homologue. S’il est désactivé, le protocole PNRP et les services de groupement homologue peuvent ne pas fonctionner, et certaines applications, telles que Groupe résidentiel et Assistance à distance, peuvent ne pas fonctionner correctement.		Manuel	Service local
Gestionnaire d’informations d’identification	Offre un service de stockage et de récupération sécurisé des informations d’identification pour les utilisateurs, les applications et les packages de services de sécurité.		Manuel	Système local
Gestionnaire de connexion automatique d’accès distant	Crée une connexion vers un réseau distant à chaque fois qu’un programme référence un nom ou une adresse DNS ou NetBIOS distant.		Manuel	Système local
Gestionnaire de connexions d’accès distant	Gère les connexions d’accès à distance et les connexions de réseau privé virtuel (VPN) entre cet ordinateur et Internet ou d’autres réseaux distants. Si ce service est désactivé, les services qui en dépendent explicitement ne pourront pas démarrer.		Manuel	Système local
Groupement de mise en réseau de pairs	Permet la communication multipartie à l’aide du groupement homologue. S’il est désactivé, certaines applications, telles que Groupe résidentiel, peuvent ne pas fonctionner.		Manuel	Service local
Hôte de périphérique UPnP	Autorise l’hébergement des périphériques UPnP sur cet ordinateur. Si ce service est arrêté, tous les périphériques UPnP hébergés cesseront de fonctionner et aucun autre périphérique hébergé ne pourra être ajouté. Si ce service est désactivé, tous les services qui dépendent explicitement de lui ne démarreront pas.		Manuel	Service local
Hôte du fournisseur de découverte de fonctions	Le service FDPHOST héberge les fournisseurs de découverte de réseau de découverte de fonction (FD). Ces fournisseurs de découverte de fonction fournissent des services de découverte de réseau pour les protocoles SSDP (Simple Services Discovery Protocol) et WS-D (Web Services - Discovery). L’arrêt ou la désactivation du service FDPHOST désactivera la découverte de réseau pour ces protocoles lors de l’utilisation de la découverte de fonction. Lorsque ce service n’est pas disponible, les services réseau qui utilisent la découverte de fonction et qui dépendent de ces protocoles de découverte ne pourront pas trouver des périphériques ou des ressources réseau.		Manuel	Service local
Hôte système de diagnostics	Le service Hôte système de diagnostics est utilisé par le Service de stratégie de diagnostics pour héberger les diagnostics qui doivent être exécutés dans un contexte de système local. Si ce service est arrêté, tous les diagnostics qui en dépendent ne fonctionneront plus.	Démarré	Manuel	Système local
Identité de l’application	Détermine et vérifie l’identité d’une application. La désactivation de ce service empêchera l’application d’AppLocker.		Manuel	Service local
Informations d’application	Permet d’exécuter les applications interactives avec des droits d’administration supplémentaires. Si ce service est arrêté, les utilisateurs ne pourront pas lancer les applications avec les droits d’administration supplémentaires nécessaires pour effectuer les tâches utilisateur souhaitées.	Démarré	Manuel	Système local
Inspection du réseau Microsoft	Empêche les tentatives d’intrusion ciblant les vulnérabilités connues et nouvellement découvertes des protocoles réseau	Démarré	Manuel	Service local
Internet Explorer ETW Collector Service	ETW Collector Service for Internet Explorer. When running, this service collects real time ETW events and processes them.		Manuel	Système local
Interruption SNMP	Reçoit les messages d’interception générés par les agents SNMP (Simple Network Management Protocol) locaux ou distants et transmet les messages aux programmes de gestion SNMP s’exécutant sur cet ordinateur. Si ce service est arrêté, les programmes à base SNMP sur cet ordinateur ne recevront pas les messages d’interception SNMP. Si ce service est désactivé, tous les services qui en dépendent explicitement ne pourront pas démarrer.		Manuel	Service local
Isolation de clé CNG	Le service d’isolation de clé CNG est hébergé dans le processus LSA. Le service fournit une isolation de processus de clé aux clés privés et aux opérations de chiffrement associées, conformément aux critères communs. Le service stocke et utilise des clés à long terme dans le cadre d’un processus sécurisé répondant aux exigences des critères communs.		Manuel	Système local
Journaux & alertes de performance	Le service des journaux et des alertes de performance collecte des données de performance sur des ordinateurs locaux ou distants, en se basant sur des paramètres de planification préconfigurés, puis écrit ces données dans un journal ou déclenche une alerte. Si ce service est arrêté, les informations de performance ne seront plus collectées. Si ce service est désactivé, tous les services qui en dépendent explicitement ne pourront plus démarrer.		Manuel	Service local
Localisateur d’appels de procédure distante (RPC)	Dans Windows 2003 et les versions antérieures de Windows, le service Localisateur d’appels de procédure distante (RPC) gère la base de données du service de nom RPC. Dans Windows Vista et les versions ultérieures de Windows, ce service ne fournit aucune fonctionnalité et est présent à des fins de compatibilité applicative.		Manuel	Service réseau
Mappage de découverte de topologie de la couche de liaison	Crée un mappage réseau, consistant en informations sur la topologie des ordinateurs et des périphériques (connectivité) et en métadonnées décrivant chaque ordinateur et chaque périphérique. Si ce service est désactivé, le mappage réseau ne fonctionne pas correctement.		Manuel	Service local
